Materials Horizons;Mater. Horizons
Molecular Plant;Mol. Plant.
ALLERGY;Allergy
Laser & Photonics Reviews;Laser Photon. Rev.
ACS Catalysis;ACS Catal.
Annual Review of Phytopathology;Annu. Rev. Phytopathol.
Advances in Nano Research;Adv. Nano Res.
JOURNAL OF PINEAL RESEARCH;J. Pineal Res.
IMMUNOLOGICAL REVIEWS;Immunol. Rev.
ADVANCES IN COLLOID AND INTERFACE SCIENCE;Adv. Colloid Interface Sci.
Annual Review of Biophysics;Annu. Rev. Biophys.
Information Fusion;Inf. Fusion
ANNALS OF SURGERY;Ann. Surg.
MEDICINAL RESEARCH REVIEWS;Med. Res. Rev.
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS;J. Photochem. Photobiol. C-Photochem. Rev.
Journal of Cachexia Sarcopenia and Muscle;J. Cachexia Sarcopenia Muscle
BIOLOGICAL REVIEWS;Biol. Rev.
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY;Compr. Rev. Food. Sci. Food Saf.
Annual Review of Earth and Planetary Sciences;Annu. Rev. Earth Planet. Sci.
CLINICAL PSYCHOLOGY REVIEW;Clin. Psychol. Rev.
Lancet HIV;Lancet HIV
npj Flexible Electronics;npj Flex. Electron.
Journal of Materials Chemistry A;J. Mater. Chem. A
Annual Review of Physical Chemistry;Annu. Rev. Phys. Chem.
CANCER RESEARCH;Cancer Res.
ACADEMY OF MANAGEMENT REVIEW;Acad. Manage. Rev.
LAB ANIMAL;Lab Anim.
BEHAVIORAL AND BRAIN SCIENCES;Behav. Brain Sci.
REVIEW OF EDUCATIONAL RESEARCH;Rev. Educ. Res.
TRENDS IN FOOD SCIENCE & TECHNOLOGY;Trends Food Sci. Technol.
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY;Crit. Rev. Environ. Sci. Technol.
IEEE SIGNAL PROCESSING MAGAZINE;IEEE Signal Process. Mag.
CLINICAL CANCER RESEARCH;Clin. Cancer Res.
BIOMATERIALS;Biomaterials
Annual Review of Neuroscience;Annu. Rev. Neurosci.
EARTH-SCIENCE REVIEWS;Earth-Sci. Rev.
PHARMACOLOGY & THERAPEUTICS;Pharmacol. Ther.
NEURO-ONCOLOGY;Neuro-Oncology
TRAC-TRENDS IN ANALYTICAL CHEMISTRY;Trac-Trends Anal. Chem.
DEVELOPMENTAL CELL;Dev. Cell
SURFACE SCIENCE REPORTS;Surf. Sci. Rep.
PROGRESS IN QUANTUM ELECTRONICS;Prog. Quantum Electron.
npj Computational Materials;npj Comput. Mater.
Advances in Carbohydrate Chemistry and Biochemistry;Adv. Carbohydr .Chem. Biochem.
EMBO Molecular Medicine;EMBO Mol. Med.
CANCER TREATMENT REVIEWS;Cancer Treat. Rev.
OPHTHALMOLOGY;Ophthalmology
JOURNAL OF BUSINESS VENTURING;J. Bus. Ventur.
JACC-Heart Failure;JACC-Heart Fail.
IEEE TRANSACTIONS ON FUZZY SYSTEMS;IEEE Trans. Fuzzy Syst.
TRENDS IN ENDOCRINOLOGY AND METABOLISM;Trends Endocrinol. Metab.
IEEE WIRELESS COMMUNICATIONS;IEEE Wirel. Commun.
TRENDS IN MOLECULAR MEDICINE;Trends Mol. Med
Journal of the National Comprehensive Cancer Network;J. Natl. Compr. Cancer Netw.
Annual Review of Nutrition;Annu. Rev. Nutr.
Analytic Methods in Accident Research;Anal. Methods Accid. Res.
Redox Biology;Redox Biol.
JOURNAL OF MANAGEMENT;J. Manag.
Science Bulletin;Sci. Bull.
COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING;Comput.-Aided Civil Infrastruct. Eng.
Dialogues in Human Geography;Dialogues Hum. Geogr.
Journal of Service Management;J. Serv. Manage.
ECONOMIC GEOGRAPHY;Econ. Geogr.
Liver Cancer;Liver Cancer
PROGRESS IN NEUROBIOLOGY;Prog. Neurobiol.
npj Digital Medicine;npj Digit. Med.
TRENDS IN GENETICS;Trends Genet.
BRIEFINGS IN BIOINFORMATICS;Brief. Bioinform.
SLEEP MEDICINE REVIEWS;Sleep Med. Rev.
EMBO JOURNAL;Embo J.
MATRIX BIOLOGY;Matrix Biol.
Theranostics;Theranostics
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION;IEEE Trans. Evol. Comput.
Cellular & Molecular Immunology;Cell. Mol. Immunol.
LEUKEMIA;Leukemia
JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY;J. Am. Acad. Dermatol.
Clinical and Translational Medicine;Clin. Transl. Med.
MOLECULAR THERAPY;Mol. Ther.
IEEE Transactions on Cybernetics;IEEE T. Cybern.
Molecular Systems Biology;Mol. Syst. Biol.
Exposure and Health;Expo. Health
Acta Pharmaceutica Sinica B;Acta Pharm. Sin. B
JOURNAL OF INTERNATIONAL BUSINESS STUDIES;J. Int. Bus. Stud.
Clinical Gastroenterology and Hepatology;Clin. Gastroenterol. Hepatol.
GENES & DEVELOPMENT;Genes Dev.
IEEE Computational Intelligence Magazine;IEEE Comput. Intell. Mag.
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE;Curr. Opin. Solid State Mat. Sci.
Earth System Science Data;Earth Syst. Sci. Data
PSYCHOLOGICAL METHODS;Psychol. Methods
Lancet Child & Adolescent Health;Lancet Child. Adolesc. Health
PLANT CELL;Plant Cell
WATER RESEARCH;Water Res.
AMERICAN JOURNAL OF BIOETHICS;Am. J. Bioeth.
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;Proc. Natl. Acad. Sci. U. S. A.
JACC-Cardiovascular Interventions;JACC-Cardiovasc. Interv.
NANO LETTERS;Nano Lett.
CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION;Crit. Rev. Food Sci. Nutr.
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH;J. Exp. Clin. Cancer Res.
Cancer Immunology Research;Cancer Immunol. Res.
SPORTS MEDICINE;Sports Med.
SEMINARS IN IMMUNOLOGY;Semin. Immunol.
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT;Front. Ecol. Environ.
IEEE CONTROL SYSTEMS MAGAZINE;IEEE Control Syst. Mag.
Genome Medicine;Genome Med.
ADMINISTRATIVE SCIENCE QUARTERLY;Adm. Sci. Q.
Annual Review of Environment and Resources;Annu. Rev. Environ. Resour
npj 2D Materials and Applications;npj 2D Mater. Appl.
RADIOLOGY;Radiology
Optica;Optica
ACTA NUMERICA;Acta Numer.
PLOS MEDICINE;PLos Med.
Annual Review of Chemical and Biomolecular Engineering;Annu. Rev. Chem. Biomol. Eng.
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS;Microbiol. Mol. Biol. Rev.
PERSOONIA;Persoonia
Blood Cancer Journal;Blood Cancer J.
Physics of Life Reviews;Phys. Life Rev.
AMERICAN JOURNAL OF HUMAN GENETICS;Am. J. Hum. Genet.
JOURNAL OF STRATEGIC INFORMATION SYSTEMS;J. Strateg. Inf. Syst.
Additive Manufacturing;Addit. Manuf.
Arthritis & Rheumatology;Arthritis Rheumatol.
Nanoscale Horizons;Nanoscale Horiz.
Journal of Travel Research;J. Travel Res.
TOURISM MANAGEMENT;Tourism Manage.
PROCEEDINGS OF THE IEEE;Proc. IEEE
MASS SPECTROMETRY REVIEWS;Mass Spectrom. Rev.
NUCLEAR DATA SHEETS;Nucl. Data Sheets
CEMENT AND CONCRETE RESEARCH;Cem. Concr. Res.
AGEING RESEARCH REVIEWS;Ageing Res. Rev.
AMERICAN PSYCHOLOGIST;Am. Psychol.
AMERICAN JOURNAL OF GASTROENTEROLOGY;Am. J. Gastroenterol.
GLOBAL CHANGE BIOLOGY;Glob. Change Biol.
IEEE TRANSACTIONS ON IMAGE PROCESSING;IEEE Trans. Image Process.
Cell Discovery;Cell Discov.
CURRENT BIOLOGY;Curr. Biol.
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY;J. Allergy Clin. Immunol.
CARDIOVASCULAR RESEARCH;Cardiovasc. Res.
SIAM REVIEW;SIAM Rev.
Annual Review of Analytical Chemistry;Annu. Rev. Anal. Chem.
Bioengineering & Translational Medicine;Bioeng. Transl. Med.
IEEE NETWORK;IEEE Netw.
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER;Biochim. Biophys. Acta-Rev. Cancer
AGE AND AGEING;Age Ageing
JOURNAL OF SERVICE RESEARCH;J. Serv. Res.
BIOSENSORS & BIOELECTRONICS;Biosens. Bioelectron.
KIDNEY INTERNATIONAL;Kidney Int.
Reviews in Aquaculture;Rev. Aquac.
JOURNAL OF HAZARDOUS MATERIALS;J. Hazard. Mater.
Trauma Violence & Abuse;Trauma Violence Abus.
Kidney International Supplements;Kidney Int. Suppl.
JOURNAL OF CELL BIOLOGY;J. Cell Biol.
LEADERSHIP QUARTERLY;Leadersh. Q.
IEEE Transactions on Affective Computing;IEEE Trans. Affect. Comput.
NPG Asia Materials;NPG Asia Mater.
Journal of Advanced Research;J. Adv. Res.
IEEE Transactions on Neural Networks and Learning Systems;IEEE Trans. Neural Netw. Learn. Syst.
JOURNAL OF NANOBIOTECHNOLOGY;J. Nanobiotechnol.
Annual Review of Virology;N/A
ANNALS OF NEUROLOGY;Ann. Neurol.
Cancer Communications;Cancer Commun.
IEEE Vehicular Technology Magazine;IEEE Veh. Technol. Mag.
CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES;Crit. Rev. Solid State Mat. Sci.
npj Regenerative Medicine;npj Regen. Med.
MOVEMENT DISORDERS;Mov. Disord.
ECOLOGICAL MONOGRAPHS;Ecol. Monogr.
Cell Systems;Cell Syst.
Business Strategy and the Environment;Bus. Strateg. Environ.
ISME Journal;ISME J.
ACM COMPUTING SURVEYS;ACM Comput. Surv.
JAMA Dermatology;JAMA Dermatol.
JOURNAL OF HEART AND LUNG TRANSPLANTATION;J. Heart Lung Transplant.
Gut Microbes;Gut Microbes
PROGRESS IN HUMAN GEOGRAPHY;Prog. Hum. Geogr.
IEEE Transactions on Industrial Informatics;IEEE Trans. Ind. Inform.
RESOURCES CONSERVATION AND RECYCLING;Resour. Conserv. Recycl.
ACADEMY OF MANAGEMENT JOURNAL;Acad. Manage. J.
HYPERTENSION;Hypertension
GREEN CHEMISTRY;Green Chem.
REMOTE SENSING OF ENVIRONMENT;Remote Sens. Environ.
JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY;J. Neurol. Neurosurg. Psychiatry
NEW PHYTOLOGIST;New Phytol.
DIABETOLOGIA;Diabetologia
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY;J. Am. Soc. Nephrol.
ENDOSCOPY;Endoscopy
Journal of Magnesium and Alloys;J. Magnes. Alloy.
ENTREPRENEURSHIP THEORY AND PRACTICE;Entrep. Theory Pract.
Journal of Industrial Information Integration;J. Ind. Inf. Integr.
JOURNAL OF NUCLEAR MEDICINE;J. Nucl. Med.
IEEE TRANSACTIONS ON MEDICAL IMAGING;IEEE Trans. Med. Imaging
AMERICAN JOURNAL OF HEMATOLOGY;Am. J. Hematol.
Applied Materials Today;Appl. Mater. Today
Cold Spring Harbor Perspectives in Biology;Cold Spring Harbor Perspect. Biol.
Wiley Interdisciplinary Reviews-RNA;Wiley Interdiscip. Rev.-RNA
Annual Review of Criminology;N/A
Biofabrication;Biofabrication
Cardiovascular Diabetology;Cardiovasc. Diabetol.
HAEMATOLOGICA;Haematologica
Advances in Virus Research;Adv.Virus Res.
Advanced Healthcare Materials;Adv. Healthc. Mater.
Advanced Optical Materials;Adv. Opt. Mater.
NEUROLOGY;Neurology
ONCOGENE;Oncogene
Family Business Review;Fam. Bus. Rev.
Perspectives on Psychological Science;Perspect. Psychol. Sci.
Chemical Science;Chem. Sci.
CHEMISTRY OF MATERIALS;Chem. Mat.
PLANT BIOTECHNOLOGY JOURNAL;Plant Biotechnol. J.
PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY;Prog. Nucl. Magn. Reson. Spectrosc.
METABOLIC ENGINEERING;Metab. Eng.
JOURNAL OF CONTROLLED RELEASE;J. Control. Release
AUTOIMMUNITY REVIEWS;Autoimmun. Rev.
APPLIED ENERGY;Appl. Energy
CURRENT OPINION IN BIOTECHNOLOGY;Curr. Opin. Biotechnol.
ENERGY CONVERSION AND MANAGEMENT;Energy Conv. Manag.
Environmental Innovation and Societal Transitions;Environ. Innov. Soc. Trans.
Journal of Energy Chemistry;J. Energy Chem.
AMERICAN SOCIOLOGICAL REVIEW;Am. Sociol. Rev.
TRANSPORT REVIEWS;Transp. Rev.
BIORESOURCE TECHNOLOGY;Bioresour. Technol.
Opto-Electronic Advances;Opto-Electron. Adv.
SEPARATION AND PURIFICATION REVIEWS;Sep. Purif. Rev.
Seminars in Immunopathology;Semin. Immunopathol.
ENVIRONMENT INTERNATIONAL;Environ. Int.
IEEE COMMUNICATIONS MAGAZINE;IEEE Commun. Mag.
Trends in Environmental Analytical Chemistry;Trends Environ. Anal. Chem.
ANGIOGENESIS;Angiogenesis
CARBON;Carbon
Annual Review of Biomedical Engineering;Annu. Rev. Biomed. Eng.
DRUGS;Drugs
EDUCATIONAL PSYCHOLOGIST;Educ. Psychol.
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS;Glob. Environ. Change-Human Policy Dimens.
DESALINATION;Desalination
ECOLOGY LETTERS;Ecol. Lett.
IEEE Internet of Things Journal;IEEE Internet Things J.
JOURNAL OF MARKETING;J. Mark.
DIABETES;Diabetes
JOURNAL OF CLINICAL ANESTHESIA;J. Clin. Anesth.
Science China-Chemistry;Sci. China-Chem.
